dimension,foundry_state,snowflake_dbt_state,databricks_state,evaluation_qualification,assessment_as_of
ontology_layer_native,built-in (Ontology + linked-object model),build-yourself on top of warehouse layer (typically 9-18 months of engineering),partial coverage via Unity Catalog (object-level governance + some ontology features),Each vendor's specific scope evolves quarterly; verify against current public docs before relying on the comparison for procurement.,2026-05
investigator_ui_native,built-in (Workshop applications + Quiver),build-yourself (Streamlit-on-Snowflake or custom React/Vue),partial (Lakeview + DBSQL provides BI surface; full investigator-app patterns require custom build),"Workshop's depth for ontology-aware investigation is distinctive; Streamlit-on-Snowflake closes much of the gap for read-only patterns. Custom-app cost on Snowflake/Databricks runs 6-12 months of engineering per institutional investigator workflow.",2026-05
pipeline_no_code,Pipeline Builder (visual no-code transforms),"DBT (SQL-only, code-but-low-code)","DLT + Workflows (config-driven, more code than DBT)",Pipeline Builder is the most truly-no-code; DBT and DLT both require SQL/YAML literacy; ranking is preference-of-no-code-vs-SQL-literacy not absolute capability.,2026-05
pipeline_code_path,Code Repositories (Python/PySpark with @transform decorator),"Python on warehouse (Snowpark) or DBT Python models",notebook-first environment (most Python-native of the three),Each platform has competent code-path support; Databricks' notebook integration is the most Python-native; Foundry's @transform decorator integrates code with the Pipeline Builder DAG most tightly.,2026-05
llm_integration_native,AIP (integrated LLM orchestration with ontology grounding),external LLM stitching (typically through Cortex AI or external API calls),"MLflow + Foundation Models partial; provider-agnostic via standard API patterns","AIP's ontology-grounded LLM integration is distinctive; Snowflake Cortex AI and Databricks MosaicML/Foundation Models are evolving rapidly; recheck current state before procurement.",2026-05
audit_trail_native_immutable,built-in (Actions framework with immutable audit entries for Action-mediated state changes),build-yourself (Time Travel + custom audit pattern through ingestion),build-yourself (Delta Lake versioning + custom audit pattern),"Actions framework provides the primitive; all platforms support some form of versioned data; the institution's audit-trail discipline (including bypass controls) determines examiner readiness regardless of platform. See Article 005 bundle for the bypass-control framework.",2026-05
cost_model,enterprise licensed (typically annual fixed),consumption-priced (compute + storage + DBT licensing add-on),"consumption-priced (compute + storage, optional Photon engine cost)","Cost-model archetype, not specific pricing. 5-year TCO at bank-group scale is in the same order of magnitude across vendors when implementation cost is included; vendor-specific procurement quotes can vary 2-3x. See tco_template.yaml.",2026-05
skill_alignment_market,"Palantir-specific (smaller talent pool, longer onboarding)",SQL + Python (largest talent pool),"Python + SQL + Spark (large talent pool, Spark adds specialization)","Talent-pool size matters for institutions hiring more than 5 engineers. For institutions hiring 1-2, the platform-specific learning curve is amortizable. Palantir-specific skills include Foundry conventions, not Spark or Python proficiency.",2026-05
vendor_lock_in,high (proprietary Ontology + Workshop runtime),low (SQL + DBT-Core is portable; warehouse-vendor switching costs are real but bounded),"medium (Spark + Delta Lake is portable; Unity Catalog adds lock-in surface)","Lock-in concerns differ by institutional sophistication. Institutions with strong platform-migration capability discount lock-in heavily; institutions without it may rate it as deal-breaking. Lock-in posture is a strategic-risk evaluation, not a feature comparison.",2026-05
regulatory_documentation_maturity,high (designed-for-compliance product positioning),medium (broad compliance customer base; specific DD-domain patterns less mature),medium (broad compliance customer base; specific DD-domain patterns less mature),"Designed-for-compliance is a vendor-marketing claim; actual examiner readiness depends on the institution's overall control environment (see Article 005's bypass controls). Foundry's claim is genuinely supported by its product design but does not substitute for institutional discipline.",2026-05
